character
Zygmunt Budge
Toby Gleaves
Tobias Stump
Tobias Snape
Tobias Misslethorpe
Titus Mitcham
Titus
Tina Lundstrom
Timothy Morcott
Timothy Justin
Tim
Tilly Toke
Tilly Monk
Tilden Toots
Tiberius Ogden
Tiberius
Tiago Montoya
Thurkell brothers
Thorsten Pfeffer
Thornton Harkaway
Thorin
Thorfinn Rowle
Thora Dinnet
Thomas Vace
Thomas Riddle
Thomas Paley
Thomas McGruder
Thomas Fillman
Thiago Quintana
Theseus Scamander
Theresa Stadt
Theopholos Malentus
Theophilus Abbot
Theodore Nott
Theodore
Theodard Fontaine
Theo Strongarm
Thelma Holmes
The Fates
Thaddeus Thurkell
Tessie
Tertius
Terry Strickland
Terry Skeres
Terry Chloe
Terry Boot
Terrence Fogarty
Terrance Hautsol
Terence Higgs
Tenebrus
Temeritus Shanks
Teffington
Teddy Taylor
Ted
Tatsuya Motoyama
Tarragon
Tarquin McTavish
Tanner Van Burm
Tangwystl Goshawk
Tamsin Hillicker
Tamsin Applebee
Tamotsu Iwamoto
Tall goblin
Talbott Winger
Takashi Noda
Tabitha Tabella
Tabitha Snackwright
Tabitha Bainbridge
Syna Hyslop
Symposia Rawle
Sylvian Jolicoeur
Sylvian Boigny
Sylvia Melville
Sybill Trelawney
Swoopstikes
Swati Pevekar
Susie Sooth
Susanna Hesleden
Susan Bones
Susan Blancheflower
Sunita Mistry
Sullivan Fawley
Sujita Tande
Sugarplum
Sue Li
Sturgis Podmore
Stunned Death Eater
Stubby Boardman
Stuart McKinley
Stuart Jones
Stuart Hogg
Stuart Craggy
Stuart Craggius
Stoyanka Grozda
Stoddard Withers
Stewart Ackerley
Stewart
Stevens
Steven Osterley
Steve McClaren
Steve Laughalot
Steve
Sterling McCubbin
Stephenie McMillan 
Stephen Swain
Stephen Hawking
Stephen Gould
Stephen Cornfoot
Stephen Challock
Stephan Hodhedge
Stefan Hoghedge
Stebbins 
Stanley Shunpike
Stanley Shilling
Stanley Eldridge
Stanley
Stamford Jorkins
Squibbert
Squawk
Spindle
Spencer Whiddon
Sourav Kartik
Sotère Lestrange
Sophie Roper
Sophie Duchamps
Sophie Berger
Sophia Prickett
Sol Campbell
Sofie
Snickerton
Snaglok
Smirnoff
Smeltings nurse
Skye Parkin
Skower
Skender
Sisi Makerere
Sirona Ryan
Sirius Black
Sir Ribbithe
Sir Luckless
Siobhan Templeton
Sinistra Lowe
Simon Wilkinson
Simon Dentata
Simon Dedworth
Simeon Woderuff
Silvio Astolfi
Silvia
Silvanus Kettleburn
Silas Crump
Sigrid Kristoffersen
Sidney Todd
Sidney Puckeridge
Sickleworth
Shruti Dev
Shoma Ichikawa
Shizuka Watanabe
Shintaro Shingo
Shimmy Hardoteer
Shifty wizard
Sherwood Partington
Shepherdess
Shelagh O'Dowd
Sheila Brooks
Shawn Morris
Sharon
Shanice Higgins
Shania Shaw
Shafiq
Shady Character
Severus Snape
Seraphina Picquery
Seraphina Bones
Septimus Weasley
Septimus Malfoy
Septima Vector
Selwyn
Selina Sapworthy
Selina Moore
Selina
Sebastien Perrot
Sebastian Sallow
Sebastian Daley
Sebastian
Sean Peakes
Sean Ogbourne
Sean Miller
Sean
Seamus Finnigan
Scouthibou
Scott Ancrum
Scorpius Malfoy
Scarlett Sparks
Scarlett Lympsham
Scarlet Sharp
Scabior
Saul Croaker
Satyavati Shah
Satoru Iida
Satinder Singh
Saranna Wilkinson
Sarah Kempston
Sara Farnham
Sanjay Shanker
Sanguini
Sanford Humberston
Sanderson Bowles
Samuel Plunkett
Samuel Journeux
Samuel Equiano
Samson Wiblin
Sam Fraddon
Salomé Lestrange
Sally-Anne Perks
Sally Smith
Sally Birchgrove
Salazar Slytherin
Sakura Akagi
Sage Bragnam
Sadie Baldock
Sachin Tripathy
Sacharissa Tugwood
Sabre
Ryuichi Yamaguchi
Ryotaro Tanaka
Ryan Westrup
Ryan Henry
Rutherford Poke
Ruth Winikus
Ruth Mina
Russell Perkins
Russell Lucky
Rupert Brookstanton
Runcorn
Rufus Winickus
Rufus Scrimgeour
Rufus Fudge
Rufus Foster
Rudolph Spielman
Rudolf Brand
Ruby Sheldon
Rubeus Hagrid
Rubens Winikus
Royston Idlewind
Royden Poke
Roy Rifenderg
Roxanne Weasley
Rowena Rowle
Rosmerta
Rosier 
Rosie Goodwin 
Rosemary Ames
Rose Zeller
Rose Zeller
Rose Wax
Rose Wax
Rosana Amorim
Rosalyn Ewhurst
Rosalind Bungs
Rosa Karasu
Ronald Weasley
Ronald Phipps
Romilda Vane
Romilda Goshawk
Romanian vampire
Rolf Scamander
Rolanda Hooch
Roland Kegg
Roland Abberley
Rohit Das
Roger Malone
Roger Handlebaum
Roger Davies
Rodrigo Palombo
Rodolphus Lestrange
Roderick Seaton
Roderick Plumpton
Roderick Murphy
Roddy Pontner
Roddy Doyle
Rod Freddy
Robyn Thistlethwaite
Robin McTighe
Robin Higgy
Robin Botesdale
Robertus Tallis
Roberta Lutterworth
Robert Wood
Robert Hilliard
Robert Hawking
Robert Grimsditch
Robert Green
Robert Bliss
Robbie Fenwick
Rob Dowson
Ritchie Coote
Rita Skeeter
Ripper
Rionach Steward
Rionach Sayre
Rionach O'Neal
Richard Washburn Child
Richard Sky
Richard Carter
Rich West
Ricbert
Rhonda Fladbury
Reynard Gage
Remy Olivier
Remus Lupin
Reiko Shibazaki
Regulus Moonshine
Regulus Black
Reginald Oddpick
Reginald Heartachus
Reginald Cattermole
Regina Rowle
Rebecca Ramsea
Rebecca
Raza Mohammad
Raymund Lambus
Raymond Bloom
Rawya Zaghloul
Rawya Zaghloul
Raul Almeida
Ranrok
Randolph Spudmore
Randolph Pauncefoot
Randolph Keitch
Randolph Burrow
Rancorous Carpe
Ralston Potter
Ralph Heidelberger
Rahul Tandel
Ragnuk
Ragnok
Ragmar Dorkins
Rafael Santos
Radulf
Radolphus Pittiman
Radolphus Lestrange
Raczidian
Rachel
Rachael Codnor
Rabastan Lestrange
Raashid Hussain
Quong Po
Quirinus Quirrell
Quintus Stranger
Quintius Umfraville
Quintius MacBoon
Quintilla Lestrange
Quintia Qarase
Quintia McQuoid
Quigley
Quiac Marinus
Qui LeBlanc
Quentin Trimble
Quentin Kowalski
Queenie Goldstein
Pythagoras
Pyrites
Pyotr Vulchanov
Pumpkin Johnny
Pudubec
Puddifoot
Pucine Lestrange
Ptolemy
Prudence
Pronk
Priscilla Dupont
Primrose Jorkins
Primpernelle
Prentice
Prendergast
Potage
Portly ghost
Porteus Knatchbull
Porpentina Goldstein
Poppy Sweeting
Poppy Pomfrey
Poppy Caxton
Poonima Shah
Pomona Sprout
Polly Chapman
Pollux Black
Poliakoff
Podric Piles
Podric Batworthy
Poderick Crookshank
Pius Thicknesse
Pitts
Pippa Macmillan
Pinky
Pike
Pigwidgeon
Piers Polkiss
Pierre Bonaccord
Pidgron sisters
Pickett
Picasso
Phyllida Spore
Phylis Whitehead
Phylis Whitehead
Phoebus Penrose
Phoebe Clem
Phoebe Black
Phineas St Gruber
Phineas Nigellus Black
Phineas Fletcher
Phineas Bourne
Phineas Black
Phillip Montgomery
Philip Blagdon
Philbert Deverill
Philbert Chivers
Phelan Noel
Petunia Dursley
Petrova Porskoff
Peter Pettigrew
Peter Jones
Peter James
Peter Hansen
Peter Blotting
Pete Balsall
Perseus Parkinson
Perseus Ecklington
Perpetua Fancourt
Perkins
Perenelle Flamel
Peregrine Derrick
Peregrine
Percy Weasley
Percivale
Percival Shacklehorn
Percival Pratt
Percival Graves
Percival Dumbledore
Penny Haywood
Penelope Taylor
Penelope Fawley
Penelope Clearwater
Peeves
Pedrus Almeidus
Peacock
Payne
Pauline Yarrow
Pauline Yarrow
Paul Stark
Paul Mawdesley
Paul Males
Paul Gallico
Patrick Redding
Patrick Fincher
Patrick Delaney-Podmore
Patrick Bagby
Patrick
Patricia Stimpson
Patricia Rakepick
Parvati Patil
Parry
Pansy Parkinson
Panju Weasley
Pandora Lovegood
Pamela Alton
Paloma Proudfoot
Padma Patil
Owen Cauldwell
Owen Anthony
Over-attentive wizard
Otto Obermeier
Otto Eduard
Otto Bagman
Ottaline Gambol
Otmar Frick
Oswald Beamish
Oswald (Niffler)
Oswald
Orsino Thruston
Orla Quirke
Orion Black
Orion Amari
Orford Umbridge
Oraclitus Spheer
Orabella Nuttley
Ophelia Rushden
Oona Ballington
Oona
One-eyed wizard
Ona Parangyo
Omar Shaw
Omar Abasi
Olympe Maxime
Ollie
Olivier Kikkert
Olivia Shardlow
Olivia Redding
Olivia Green
Olivia Gleaves
Oliver Wood
Oliver Wiseman
Oliver Rivers
Oliver Cartwright
Olive Hornby
Olin Oakwood
Olaf Andersen
Ogg
Odysseus
Odo
Odile Perrot
Oddvar Spillum
Odbert
Octavius Pepper
Octavia Xeep
Octavia Xeep
Oblansk
Oakden Hobday
Oakden Hernshaw
Nymphadora Tonks
Nugent Potts
Nozéa Lestrange
Nott
Norville Bezerko
Norvel Twonk
Norman Wesley
Norman Tuttle
Norman Stacey
Noriyuki Sato
Noriko Sato
Noreen Kirkby
Norberta
Nola Johnston
Noel Harwich
Nobby Leach
Nitin Divekar
Ninon Saucet
Nina Chibbar
Niles Hanley
Nikola Vassileva
Niko Nenad
Nigelle le Narcissique
Nigel Wroxton
Nigel Wolpert
Nigel
Nienna Robins
Nicolaus Copernicus
Nicolas Grimmett
Nicolas Flamel
Nicola Wells
Nicola Wells
Nicola Dodworth
Nick Clegg
Nicholas Saunders 
Nicholas Malfoy
Ngapo Ponika
Newton Scamander
Newspaper seller
Neville Longbottom
Nerys Orpington
Nerissa Brody
Nerida Vulchanova
Nerida Vulchanova
Nerida Roberts
Nepali wizard
Nelson Selgado
Nellie Oggspire
Nellie Lo Russell
Neil Randall
Neil Nuts
Neil Lament
Neil La Mounte
Ned
Natsumi Suzuki
Natsai Onai
Nathaniel Douglas
Natalya
Natalie McDonald
Natalie Limunus
Natalie Holkham
Natalie Fairbourne
Narinder Singh
Narcissa Malfoy
Napoléon
Naoki Tsuchiya
Nanette Desford
Nandini Johar
Nagnok
Nagini
Nagel
Naasz
Myrtle Warren
Myrtle Warren
Myron Wagtail
Myron Otherhaus
Myra Curio
Mylor Silvanus
Mykew Gregorovitch
Mustafa Kama
Musidora Barkwith
Murphy McNully
Muriel Rothley
Muriel
Murcus
Mungo MacDuff
Mungo Bonham
Mundungus Fletcher
Mulpepper
Mullet
Muldoon Cragg
Mosag
Morwena Ganderwort
Mortlake
Morten Parpidum
Morrigan
Morholt
Morgan le Fay
Morfin Gaunt
Mordicus Egg
Mordecai Berrycloth
Moran
Morag MacDougal
Morag
Mopsy Fleabert
Mopsus
Montgomery
Montague Knightley
Mona Lisa
Momolu Wotorson
Molly Weasley
Modesty Rabnott
Modesty Barebone
Mnemone Radford
Mizuho Yoshii
Miyuki Tsuji
Misapinoa Black
Miro Limus
Miriam Strout
Miriam Fig
Miras Phlaras
Miraphorus
Miraphora Mina
Miranda Goshawk
Miranda Flockton
Miraforum
Mirabella Plunkett
Mirabel Garlick
Minette Lestrange
Minerva McGonagall
Minerva
Minaka Hirakata
Mina Lima
Mimi Erland
Milly
Mills
Millie Gudabi
Millicent Bulstrode
Millicent Bagnold
Millford Quisling
Milford Vessel
Miles Bletchley
Mildred Peebles
Mike Maloney
Mike Boon
Michael Robinson
Michael McManus
Michael Karume
Michael Frimley
Michael Corner
Michael Babatola
Michael
Merwyn the Malicious
Merwyn Finwick
Mervyn Wynch
Mervyn Fenwick
Merula Snyde
Merton Graves
Merqueen
Merope Riddle
Merlin
Mercy Wardwell
Mercy Wardwell
Mercy Ojukwu
Mercy Lewis
Menzies
Mentor Metaxas
Melvin Godfrey
Melvin Catterick
Melusine
Melody Fawley
Melinda Bobbin
Melanie Stanmore
Melania Macmillan
Megan Scott
Megan Rowstock
Megan Jones
Meaghan McCormack
McClaggan
Mazoni
Maynard Hatton
Maxwell Lima
Maxwell Lazenby
Maxwell Barnett
Maxine O'Flaherty
Maximus Brankovitch
Maximilian Crowdy
Mauricius Carneirus
Mauricius
Mauricio Carneiro
Maurice Willards
Maurice Willard
Maurice Netto
Maud Montague
Maud Montagu
Maud Ashborn
Mattie Lovett
Matthias Pickering
Matthew Kettletoft
Matthew Jenkins
Matthew Echunga
Matildus Heizenbert
Matilda Weasley
Matilda Dukelow
Mathis Gage
Mathilde Mallard
Mathilda Grimblehawk
Mathilda Greenford
Matheus Limusa
Mason Tremblay
Masaki Hongo
Mary Riddle
Mary Macdonald
Mary Lou Barebone
Mary Karasu
Mary Jauncey
Mary Doyle
Mary Dorkins
Mary Cattermole
Marvolo Gaunt
Martino Frolic
Martine Copplestone
Martin Miggs
Martin MacFusty
Martin Helstrom
Martin Frolik
Martin Beccles
Martha Steward
Marshall Sheridan
Marshall Fawley
Marsh
Marlowe Forfang
Marlow
Marlene McKinnon
Mark Twain
Mark Sommertime
Mark Overcliff
Mark Latchingdon
Mark Evans
Mark Constantine
Marjorie Dursley
Marius Black
Marina Sanchez
Marilyn
Marilias Kistmanus
Marigold
Marietta Edgecombe
Maria Monteith
Maria Glossop
Margot Droope
Margaretta Ironbark
Margaret Ettington
Marcus Turner
Marcus Hitchin
Marcus Flint
Marcus Fenwick
Marcus Belby
Marazion
Marauders
Manon Perrot
Manoj Pandit
Manish Sreenivasan
Mandy Brocklehurst
Manami Ichijoh
Malodora Grymm
Mallory Twiddle
Mallory Norden
Malkin
Malecrit
Malcolm Swannage
Malcolm Preece
Malcolm McGonagall
Malcolm Ilminster
Malcolm Baddock
Maisy Reynolds
Maisie Sheppard
Maisie Cattermole
Maiden
Mahendra Pehlwaan
Magorian
Magnus MacDonald
Magic goblin
Magenta Tripe
Magenta Comstock
Magee
Magali Crowe
Mafalda's mother
Mafalda Hopkirk
Maeve
Maerwynn Montfort
Madhumati Parmar
Madge Farley
Madeline Ormskirk
MacDuff
Mable Dwillingwort
Mabel Dashalot
Lysandra Yaxley
Lysandra Yaxley
Lysander Scamander
Lynette Sawley
Lydian Xeep
Lydia Scarlett
Lydia Fry
Lydia Cooden
Lycoris Black
Lyall Lupin
Luxo Karuzos
Luxo Karuzos
Luna Lovegood
Luminosa Lestrange
Luke Cholderton
Luke
Lukas Karuzos
Luisa
Ludovic Bagman
Lucy Weasley
Lucy Weasley
Lucy Lanyon
Lucy Karoonda
Lucy Hurst
Lucy Evans
Lucretia Fawley
Lucretia Black
Lucius Malfoy I
Lucius Malfoy
Lucinda Thomsonicle-Pocus
Lucinda Talkalot
Luciano Volpi
Luciano Limus
Lucian Bole
Luccas Carusus
Lucas Sparrowvale
Lucas Picquery
Lucas Bargeworthy
Lucan Brattleby
Luca Caruso
Luc Millefeuille
Loxias
Louka Phyllian
Louise Van Hawe
Louise Fontwell
Louise
Louis Weasley
Louis Hubbard
Louis Gage
Lottie Turner
Lorre Gustafson
Loretta Cornhill
Lord Palmerston
Lord North
Lord Draben
Lord Byron
Lorcan Scamander
Lorcan McLaird
Loony Nonby
Liza Cherks
Liz Tuttle
Livius
Liu Tao
Lisette de Lapin
Lisbeth Scintilla
Lisa Turpin
Lisa Smith
Lisa Cullen
Linfred of Stinchcombe
Linderina Crane
Linda Chaddesley
Lina Tande
Limus Filhous
Limunus
Limebert
Lim Po
Lily Moon
Lilith Molesby
Licorus Black
Libatius Borage
Lewis Thorverton
Levina Monkstanley
Lev Zograf
Leticia Somnolens
Leta Lestrange
Lestrange
Lesley Toddington
Leopoldina Smethwyck
Leonora Gore
Leonie Tremblay
Leonardo Da Vinci
Leonard Spencer-Moon
Leonard Jewkes
Lennox Campbell
Lenelle Paraison
Lemus Pinutius
Leesk
Lee Jordan
Leanne
Leander Prewett
Lawrence Feldman
Lavender Brown
Laurentia Fletwock
Laurent D'Arcy
Laurence Wakefield
Laurena Kama
Lauren Wakefield
Laurelle Perrot
Laura Thorn
Laura Madley
Latisha Randle
Lars Moberly
Lars Lundekvam
Lara Von Sigg
Lara Sigg
Lara Blishen
Langdon Shaw
Lancaster Pyke
Lana Tuttle
Lamont
Laith
Lady Wimborne
Lady Grieve
Ladislaw Zamojski
Lachlan MacKenzie
Kylie Meadows
Kurt Todt
Kursten Blijk
Kris Kolumbiko
Kreacher
Krall
Krafft
Kquewanda Bailey
Kouta Ohnishi
Kousuke Yoshioka
Konrad Weiss
Kneil
Knarl
Kitty Sharp
Kit Gerrard
Kirley Duke
Kinjal Bhatia
Kingsley Shacklebolt
Kimiko Kurosawa
Kim Sheringham
Kieran Muirhead
Kevinus Morrisons
Kevin Whitby
Kevin Sterndale
Kevin Hopwood
Kevin Farrell
Kevin Entwhistle
Kevin Broadmoor
Kevin Bletchley
Kensington Millbottom
Kenny Markham
Kennilworthy Whisp
Kenneth Towler
Kenneth Hastings
Kelly Harborne
Kelly Brown
Kellah
Keiko Takahashi
Keaton Flitney
Kazuhiro Shiratori
Kay Hurwitz
Kay Formby
Katura Melkor
Katsuji Yamazaki
Katie Rayknolls
Katie Killick
Katie Bell
Katherine Mansfield
Kate Olney
Karl Wang
Karl Limpley
Karl Jenkins
Karl Broadmoor
Karkus's wife
Karkus
Karkaroff's Aide
Kaori Shimizu
Kaleena Page
Kajol Bhatt
Justus Pilliwickle
Justine Britnell
Justin Steele
Justin Finch-Fletchley
Junpei Suruga
Julius Dehoffe
Julius Dehoff
Julie Parkes
Jules Egwu
Jugson
João Coelho
Joyce Haddock
José Barboza
Josiah Plunkett
Josiah Jackson
Joshua Sturton
Joshua Sankara
Joshua Flexson
Josette Kelius
Josette Gage
Josephine Marat
Josephine Kay
Josephine
Josephina Flint
Joseph Snuka
Joseph Heller
Joseph Friend
Joseph Edwards
Josefina Calderon
Josef Wronski
Joscelind Wadcock
Jordanna Bodiment
Jonny Nuhaka
Jonny Anomaly
Jonathan Spratt
John Terry
John Talisker
John Stevenson
John Kent
John Joseph Merlin
John Homme
John Haas
John Garry
John Dawlish
John Constable
John Bunyan
John Bastedo
John
Johannes Jonker
Johann Agardh
Johan Hoffman
Joey Jenkins
Joe McGee
Joe Laurie
Jody Jacknife
Jodie Pritchard
Jodelle Lestrange
Jocunda Sykes
Joan Maguire Cook
Joan Kerridge
Jo King
Jimmy Peakes
Jimmy Kiddell
Jimbo Blishwick
Jim McGuffin
Jim Luna
Jim Hamilton
Jessica Tring
Jerome
Jeremy Stretton
Jeremy Clarkson
Jeremius Wardwart
Jeremiah Garnet
Jennifer Winston
Jennifer Winston
Jennifer Dawn
Jean-Jacques Launier
Jean-Baptiste Bloncourt
Jay
Jatin Agarkar
Jasper Trout
Jason Swann
Jason Samuels
Jason Huntingdon
Jason Denbright
Jason Charmer
Jason Caffoe
Jasichus
Jarleth Hobart
Janus Thickey
Janice Pepper
Jane Court
Jane Austen
Jan Kowalski
Jamie Wolpert 
James Tuckett 
James Steward
James Potter 
James Killick
Jakub Gorski
Jake Flinton
Jake Farley
Jae Kim
Jada Angela
Jacques Miskine
Jacqueline Lejeune
Jacob Kowalski
Jacob Erland
Jackson Sheppard
Jackie Jernigan
Jack Sloper
Jack Monk
Jack London
Jack Jodieman
Ivy Warrington
Ivor Dillonsby
Ivan Volkov
Ivan Renshaw
Ivan Popa
Isolt Sayre
Isobel Ross
Ismelda Murk
Isabella Tintwistle
Irving Warble
Irving Cram 
Irving Cram 
Irma Pince
Irma Dugard
Irma Crabbe
Iris Pius
Irfan Mustaq
Irene Kneedander
Irene Denholm
Iolanthe Peverell
Iola Hillicker
Iola Black
Inigo Imago
Inigo Fuente Marrero
Ingolfr the Iambic
Indira Choudry
Imogen Stretton
Imelda
Illyius
Igor Karkaroff
Igor Brand
Ignotus Peverell
Ignis Nagy
Ignatius Tuft
Ignatius Prewett
Ignatia Wildsmith
Iefan Rice
Idris Oakby
Ida Webb
Ice cream seller
Iain Claverdon
Humphrey Kilburn
Humphrey Belcher
Humphrey Balsamo
Huguette Perrot
Hugo Pepper
Hugo Mattingley
Howland Coopey
Howard Haywood
Howard Chalk
Hortensia Milliphutt
Hortense Rowland
Hortense Cooper
Horatio Pershore
Horatio Cloke
Horace Slughorn
Hope Howell
Honoria's fiancé
Honoria Nutcombe
Holly Blackbird
Holden Ledbury
Hodrod the Horny-Handed
Hisana Malachela
Hirohisa Kubo
Hippocrates Smethwyck
Hilliard Hobday
Hildegarde Lafarge
Hilda Kendrick
Hilary Erskine
Higglebottom
Hieronymus
Hetty Bayliss
Hestia Jones
Hestia Carrow
Hesphaestus Gore
Hesper Starkey
Hesper Gamp
Hesper Black
Herschel Haesito
Herpo the Foul
Hermione Granger
Hermes
Hermann Wiel
Herman Wintringham
Herman Junker
Hereward
Herbert Varney
Herbert Fleet
Herbert Chorley
Herbert Chewsworthy
Herbert Burke
Herbert Beery
Herb Salient
Hepzibah Smith
Henry Williams
Henry Shaw Senior
Henry Shaw Junior
Henry Potter
Henry Bumblepuft
Henrietta Fischer
Hengist of Woodcroft
Hengist of Upper Barnton
Hengist Rawkes
Henerick
Hemani Roshan
Heloise Lestrange
Helmut Weiss
Helixa Hyslop
Heliotrope Willis
Heliotrope Wilkins
Helga Hufflepuff
Helena Ravenclaw
Helen Thistlewood
Helen Monroe
Helen Dawlish
Helbert Spleen
Heinrich Eberstadt
Heidi Macavoy
Hedwig
Hedley Fleetwood
Hector Weasley
Hector Podmore
Hector Lamont
Hector Jenkins
Hector Fawley
Hector Bolobolo
Hecate Oakham
Heather Thatcham
Heathcote Barbary
Heady
Hazel Stickney
Hayley Quentin
Havelock Sweeting
Hassan Mostafa
Harvey Ridgebit
Harvey O'Brien
Haruka Endoh
Harry Trigg
Harry Potter
Harriet Ellesmere
Harper
Harold Skively
Harold Minchum
Harold Grace
Harold Dingle
Harold
Harfang Munter
Harfang Longbottom
Hardwin Potter
Hardik Tandel
Hans
Hannah Cockleford
Hannah Abbott
Hankerton Humble
Haniball Carathi
Handsome Poltergeist
Hamish Steed
Hamish MacFarlan
Hamish Knighton
Hamish Frater
Hamish Buchanan
Hambledon Quince
Hall
Haley Dakota
Hadrian Whittle
Günther the Violent
Gwenog Jones
Gwenog
Gwendolyn Morgan
Gwendoline Hedgeflower
Gwendoline Babcocke
Guthrie Lochrin
Gunnar Grimmson
Gunhilda de Gorsemoor
Gunhilda Kneen
Gulray
Gulliver Pokeby
Guillory
Grugwyn Rufford
Gruffyd Wellnelly
Group of injured giants
Grogory
Grogan Stump
Grizel Hurtz
Griselda Marchbanks
Griselda Jorkins
Griphook
Gringotts Head Goblin
Gringotts Guards
Gringott
Grimwold Jorkins
Grim Fawley
Greta Catchlove
Grenouille
Gregory the Smarmy
Gregory Munslow
Gregory Goyle
Gregory Cotton
Gregor Favila
Greg Ruczinski
Greek man
Grawp
Granville Jorkins
Grant Sparkford
Grant Page
Graham Romsey
Graham Pritchard
Graham Montague
Grace Nutley
Goyle
Gossamer
Goshawk sisters
Gornuk
Gormless Morgan
Gormlaith Gaunt
Gorilla at the zoo
Gordon Pummell
Gordon Horton
Gordon Brown
Gordon
Google Stump
Google Flange
Goodwin Kneen
Gonçalo Flores
Gondulphus Graves
Gondoline Oliphant
Goliath's slayer
Goliath
Golgomath
Godric Gryffindor
Godfrey Midhurst
Godfrey
Godelot
Gnarlak
Glynnis Griffiths
Glynis Mexborough
Glover Hipworth
Glossy
Gloomy nuns
Glinda Crook
Glenda Chittock
Glen
Glanmore Peakes
Gladys Prescott
Gladys Gudgeon
Gladys Boothby
Gimkey
Gillian Ossett
Gilderoy Lockhart
Gilbert Wimple
Gilbert Bingley
Gifford Ollerton
Giffard Abbott
Gideon Scalby
Gideon Prewett
Gideon Flatworthy
Gideon Crumb
Gibson
Gianni Fedele
Gianna Grace Marie
Gethsemane Prickle
Gervaise Ollivander
Gertrude Meads
Gertie Keddle
German-speaking woman
Gerda Curd
Gerbold Ollivander
Gerard Willerby
Gerald Vickers
Geraint Ollivander
Georgios Xenakis
Georgina Smyth
Georgia Clark-Day
Georgi Zdravko
Georges Clemenceau
George von Rheticus
George Weasley
George Sipel
George Savill
George Osric
George Osborne
George Orwell
George Eliot
George Coutas
Geoffrey Stradbroke
Geoffrey Hooper
Genevieve Ramsey
Genevieve Bladt
Gemma Farley
Gellert Grindelwald
Gayle Pocklington
Gawain Robards
Gavin
Gato Felinus
Gaspard Shingleton
Garvin Lügner
Garrick Ollivander
Garrick Newbourne
Garius Tomkink
Gareth Pewsey
Gareth Greengrass
Galvin Gudgeon
Galileo Galilei
Galatea Merrythought
Gabrielle Delacour
Gabriella Mather
Gabriel Truman
Gabriel Tate
Gabriel Lithgow
Félicule Lestrange
Fytherley Undercliffe
Fuzzclaw
Fulbert the Fearful
Fubster
Fry
Fridwulfa
Friar
Frederick Springer
Freddy Forgione
Fred Weasley
Fred Baille
Frazier
Franziska Faust
Franklin Greenwood
Frank Longbottom
Frank Doyle
Frank Bryce
Franciscus Fieldwake
Francis
