sentence,entities,character_entities
",” sobbed Hagrid, taking out a large, spotted 
handkerchief and burying his face in it.",['Hagrid'],['Hagrid']
"“But I c-c- 
can’t stand it — Lily an’ James dead — an’ poor little 
Harry off ter live with Muggles — ” 

“Yes, yes, it’s all very sad, but get a grip on yourself, 
Hagrid, or we’ll be found,” Professor McGonagall 
whispered, patting Hagrid gingerly on the arm as 
Dumbledore stepped over the low garden wall and 
walked to the front door.","['James', 'Harry', 'Hagrid', 'McGonagall', 'Hagrid', 'Dumbledore']","['Hagrid', 'McGonagall', 'Hagrid', 'Dumbledore']"
"For a full minute the three of them stood 
and looked at the little bundle; Hagrid’s shoulders 
shook, Professor McGonagall blinked furiously, and 
the twinkling light that usually shone from 
Dumbledore’s eyes seemed to have gone out. 

","['a full minute', 'three', 'Hagrid', 'McGonagall', 'Dumbledore']","['Hagrid', 'McGonagall', 'Dumbledore']"
"“Well,” said Dumbledore finally, “that’s that.",['Dumbledore'],['Dumbledore']
"

“Yeah,” said Hagrid in a very muffled voice, “I’d best 
get this bike away.",['Hagrid'],['Hagrid']
"G ’night, Professor McGonagall — 
Professor Dumbledore, sir.”","['McGonagall', 'Dumbledore']","['McGonagall', 'Dumbledore']"
"

Wiping his streaming eyes on his jacket sleeve, Hagrid 
swung himself onto the motorcycle and kicked the 
engine into life; with a roar it rose into the air and off 
into the night.","['Hagrid', 'the night']",['Hagrid']
"

“I shall see you soon, I expect, Professor McGonagall,” 
said Dumbledore, nodding to her.","['McGonagall', 'Dumbledore']","['McGonagall', 'Dumbledore']"
"Professor 
McGonagall blew her nose in reply.",['McGonagall'],['McGonagall']
"“Sorry?” barked Hagrid, turning to stare at the 
Dursleys, who shrank back into the shadows.","['Hagrid', 'Dursleys']",['Hagrid']
"But Hagrid simply waved his hand and said, “About 
our world, I mean.",['Hagrid'],['Hagrid']
"

A braver man than Vernon Dursley would have 
quailed under the furious look Hagrid now gave him; 
when Hagrid spoke, his every syllable trembled with 
rage.","['Vernon Dursley', 'Hagrid', 'Hagrid']","['Hagrid', 'Hagrid']"
"Never told him what was in the 
letter Dumbledore left fer him?",['Dumbledore'],['Dumbledore']
"I saw 
Dumbledore leave it, Dursley!","['Dumbledore', 'Dursley']",['Dumbledore']
"

“Ah, go boil yer heads, both of yeh,” said Hagrid. 
",['Hagrid'],['Hagrid']
"“A wizard, o’ course,” said Hagrid, sitting back down 
on the sofa, which groaned and sank even lower, “an’ 
a thumpin’ good’un, I’d say, once yeh’ve been trained 
up a bit.","['Hagrid', 'yeh’ve']",['Hagrid']
"After a few 
minutes he stammered, “What does it mean, they 
await my owl?” 

“Gallopin’ Gorgons, that reminds me,” said Hagrid, 
clapping a hand to his forehead with enough force to 
knock over a cart horse, and from yet another pocket 
inside his overcoat he pulled an owl — a real, live, 
rather ruffled-looking owl — a long quill, and a roll of 
parchment.","['a few \nminutes', 'Gallopin’ Gorgons', 'Hagrid']",['Hagrid']
"“Where was I?” said Hagrid, but at that moment, 

Uncle Vernon, still ashen-faced but looking very 
angry, moved into the firelight.","['Hagrid', 'Uncle Vernon']",['Hagrid']
"

“A Muggle,” said Hagrid, “it’s what we call nonmagic 
folk like them.",['Hagrid'],['Hagrid']
"

“CAR CRASH!” roared Hagrid, jumping up so angrily 
that the Dursleys scuttled back to their corner.","['Hagrid', 'Dursleys']",['Hagrid']
The anger faded from Hagrid’s face.,['Hagrid'],['Hagrid']
"“I had no idea, when Dumbledore told me there 
might be trouble gettin’ hold of yeh, how much yeh 
didn’t know.",['Dumbledore'],['Dumbledore']
"probably knew they were too close ter Dumbledore ter 
want anythin’ ter do with the Dark Side. 

",['Dumbledore'],['Dumbledore']
"As Hagrid’s story came to a close, he saw again the 
blinding flash of green light, more clearly than he had 
ever remembered it before — and he remembered 
something else, for the first time in his life: a high, 
cold, cruel laugh.","['Hagrid', 'first']",['Hagrid']
"He was glaring at Hagrid and his fists were 
clenched. 

",['Hagrid'],['Hagrid']
"“Now, you listen here, boy,” he snarled, “I accept 
there’s something strange about you, probably 

Page | 62 Harry Potter and the Philosophers Stone - J.K. Rowling 




nothing a good beating wouldn’t have cured — and as 
for all this about your parents, well, they were 
weirdos, no denying it, and the world’s better off 
without them in my opinion — asked for all they got, 
getting mixed up with these wizarding types — just 
what I expected, always knew they’d come to a sticky 
end — ” 

But at that moment, Hagrid leapt from the sofa and 
drew a battered pink umbrella from inside his coat. 
","['62', 'Harry Potter', 'the Philosophers Stone - J.K. Rowling', 'Hagrid']",['Hagrid']
"“That’s better,” said Hagrid, breathing heavily and 
sitting back down on the sofa, which this time sagged 
right down to the floor. 

",['Hagrid'],['Hagrid']
"“Hagrid,” he said quietly, “I think you must have 
made a mistake.",['Hagrid'],['Hagrid']
"

To his surprise, Hagrid chuckled.",['Hagrid'],['Hagrid']
"Harry looked back at Hagrid, smiling, and saw that 
Hagrid was positively beaming at him.","['Harry', 'Hagrid', 'Hagrid']","['Hagrid', 'Hagrid']"
"

“See?” said Hagrid.",['Hagrid'],['Hagrid']
"I’ve 
read those letters and he needs all sorts of rubbish — 
spell books and wands and — ” 

“If he wants ter go, a great Muggle like you won’t stop 
him,” growled Hagrid.",['Hagrid'],['Hagrid']
"Pulling Aunt Petunia and 
Dudley into the other room, he cast one last terrified 
look at Hagrid and slammed the door behind them. 

","['Aunt Petunia', 'Dudley', 'Hagrid']",['Hagrid']
"Great 
man, Dumbledore.”",['Dumbledore'],['Dumbledore']
"

“Why were you expelled?” 

“It’s gettin’ late and we’ve got lots ter do tomorrow,” 
said Hagrid loudly.","['tomorrow', 'Hagrid']",['Hagrid']
"“I dreamed a 
giant called Hagrid came to tell me I was going to a 
school for wizards.",['Hagrid'],['Hagrid']
He sat up and Hagrid ’s heavy coat fell off him.,['Hagrid'],['Hagrid']
"The 
hut was full of sunlight, the storm was over, Hagrid 
himself was asleep on the collapsed sofa, and there 



Page | 68 Harry Potter and the Philosophers Stone - J.K. Rowling 



was an owl rapping its claw on the window, a 
newspaper held in its beak. 

","['Hagrid', '68', 'Harry Potter', 'the Philosophers Stone - J.K. Rowling']",['Hagrid']
"The 
owl swooped in and dropped the newspaper on top of 
Hagrid, who didn’t wake up.",['Hagrid'],['Hagrid']
"The owl then fluttered 
onto the floor and began to attack Hagrid ’s coat.",['Hagrid'],['Hagrid']
"

“Give him five Knuts,” said Hagrid sleepily. 

","['five', 'Knuts', 'Hagrid']",['Hagrid']
"

“Urn — Hagrid?” 

“Mm?” said Hagrid, who was pulling on his huge 
boots.",['Hagrid'],['Hagrid']
"

“Don’t worry about that,” said Hagrid, standing up 
and scratching his head.",['Hagrid'],['Hagrid']
"

Harry followed Hagrid out onto the rock.","['Harry', 'Hagrid']",['Hagrid']
"“Flew,” said Hagrid. 

",['Hagrid'],['Hagrid']
"

They settled down in the boat, Harry still staring at 
Hagrid, trying to imagine him flying. 

“Seems a shame ter row, though,” said Hagrid, giving 
Harry another of his sideways looks.","['Harry', 'Hagrid', 'Hagrid', 'Harry']","['Hagrid', 'Hagrid']"
"Hagrid pulled out the pink umbrella again, tapped it 

Page | 71 Harry Potter and the Philosophers Stone - J.K. Rowling 




twice on the side of the boat, and they sped off toward 
land. 

","['Hagrid', '71', 'Harry Potter', 'the Philosophers Stone - J.K. Rowling']",['Hagrid']
"

“Spells — enchantments,” said Hagrid, unfolding his 
newspaper as he spoke.",['Hagrid'],['Hagrid']
"

Harry sat and thought about this while Hagrid read 
his newspaper, the Daily Prophet Harry had learned 
from Uncle Vernon that people liked to be left alone 
while they did this, but it was very difficult, he’d 
never had so many questions in his life.","['Harry', 'Hagrid', 'Prophet Harry', 'Uncle Vernon']",['Hagrid']
"Harry asked, before he 
could stop himself. 

“ ’Course,” said Hagrid.","['Harry', 'Hagrid']",['Hagrid']
"Passersby stared a lot at Hagrid as they walked 
through the little town to the station.",['Hagrid'],['Hagrid']
"Not only was Hagrid twice as tall as 
anyone else, he kept pointing at perfectly ordinary 
things like parking meters and saying loudly, “See 
that, Harry?","['Hagrid', 'Harry']",['Hagrid']
"Things these Muggles dream up, eh?” 

“Hagrid,” said Harry, panting a bit as he ran to keep 
up, “did you say there are dragons at Gringotts?”","['Hagrid', 'Harry', 'Gringotts']",['Hagrid']
"

“Well, so they say,” said Hagrid.",['Hagrid'],['Hagrid']
"“Good,” said Hagrid.",['Hagrid'],['Hagrid']
"“If yeh know where to go,” said Hagrid. 

",['Hagrid'],['Hagrid']
"Although 
Hagrid seemed to know where he was going, he was 
obviously not used to getting there in an ordinary 
way.",['Hagrid'],['Hagrid']
"If Harry hadn’t 
known that the Dursleys had no sense of humor, he 
might have thought so; yet somehow, even though 
everything Hagrid had told him so far was 
unbelievable, Harry couldn’t help trusting him. 

","['Harry', 'Dursleys', 'Hagrid', 'Harry']",['Hagrid']
"“This is it,” said Hagrid, coming to a halt, “the Leaky 
Cauldron.","['Hagrid', 'Leaky']",['Hagrid']
"If Hagrid hadn’t 
pointed it out, Harry wouldn’t have noticed it was 
there.","['Hagrid', 'Harry']",['Hagrid']
"In fact, Harry had the most 
peculiar feeling that only he and Hagrid could see it. 
","['Harry', 'Hagrid']",['Hagrid']
"Before he could mention this, Hagrid had steered him 
inside.",['Hagrid'],['Hagrid']
"Everyone seemed to know 
Hagrid; they waved and smiled at him, and the 
bartender reached for a glass, saying, “The usual, 
Hagrid?” 

“Can’t, Tom, I’m on Hogwarts business,” said Hagrid, 
clapping his great hand on Harry’s shoulder and 
making Harry’s knees buckle.","['Hagrid', 'Hagrid', 'Tom', 'Hagrid', 'Harry', 'Harry']","['Hagrid', 'Hagrid', 'Hagrid']"
“Professor Quirrell!” said Hagrid.,"['Quirrell', 'Hagrid']","['Quirrell', 'Hagrid']"
"“Harry, Professor 
Quirrell will be one of your teachers at Hogwarts.”","['Harry', 'Quirrell']",['Quirrell']
"

“P-P-Potter,” stammered Professor Quirrell, grasping 
Harry’s hand, “c-can’t t-tell you how p-pleased I am to 
meet you.”","['Quirrell', 'Harry']",['Quirrell']
"

“What sort of magic do you teach, Professor Quirrell?” 

“D-Defense Against the D-D-Dark Arts,” muttered 
Professor Quirrell, as though he’d rather not think 
about it.","['Quirrell', 'Quirrell']","['Quirrell', 'Quirrell']"
"But the others wouldn’t let Professor Quirrell keep 
Harry to himself.","['Quirrell', 'Harry']",['Quirrell']
"At last, Hagrid managed to make 
himself heard over the babble.",['Hagrid'],['Hagrid']
"

Doris Crockford shook Harry’s hand one last time, 
and Hagrid led them through the bar and out into a 
small, walled courtyard, where there was nothing but 
a trash can and a few weeds. 

","['Doris Crockford', 'Harry', 'one', 'Hagrid']",['Hagrid']
"Even 
Professor Quirrell was tremblin’ ter meet yeh — mind 
you, he’s usually tremblin’.”",['Quirrell'],['Quirrell']
"Hagrid, meanwhile, was counting bricks in the wall 
above the trash can. 

",['Hagrid'],['Hagrid']
"The brick he had touched quivered — it wriggled — in 
the middle, a small hole appeared — it grew wider 
and wider — a second later they were facing an 
archway large enough even for Hagrid, an archway 
onto a cobbled street that twisted and turned out of 
sight.","['second', 'Hagrid']",['Hagrid']
"Page | 79 Harry Potter and the Philosophers Stone - J.K. Rowling 




“Welcome,” said Hagrid, “to Diagon Alley.”","['79', 'Harry Potter', 'the Philosophers Stone - J.K. Rowling', 'Hagrid', 'Diagon Alley']",['Hagrid']
"“Yeah, you’ll be needin’ one,” said Hagrid, “but we 
gotta get yer money first.”","['Hagrid', 'first']",['Hagrid']
"

“Gringotts,” said Hagrid. 



","['Gringotts', 'Hagrid']",['Hagrid']
"Standing beside 
its burnished bronze doors, wearing a uniform of 
scarlet and gold, was — 

“Yeah, that’s a goblin,” said Hagrid quietly as they 
walked up the white stone steps toward him.",['Hagrid'],['Hagrid']
"“Like I said, yeh’d be mad ter try an’ rob it,” said 
Hagrid.",['Hagrid'],['Hagrid']
"“Morning,” said Hagrid to a free goblin.","['Morning', 'Hagrid']",['Hagrid']
"

“Got it here somewhere,” said Hagrid, and he started 
emptying his pockets onto the counter, scattering a 
handful of moldy dog biscuits over the goblins book of 
numbers.",['Hagrid'],['Hagrid']
"

“Got it,” said Hagrid at last, holding up a tiny golden 
key.",['Hagrid'],['Hagrid']
"

“An’ I’ve also got a letter here from Professor 
Dumbledore,” said Hagrid importantly, throwing out 
his chest.","['Dumbledore', 'Hagrid']","['Dumbledore', 'Hagrid']"
"

“Very well,” he said, handing it back to Hagrid, “I will 
have someone take you down to both vaults. 
",['Hagrid'],['Hagrid']
"

“Can’t tell yeh that,” said Hagrid mysteriously.",['Hagrid'],['Hagrid']
"

“I never know,” Harry called to Hagrid over the noise 
of the cart, “what’s the difference between a 
stalagmite and a stalactite?” 

“Stalagmite’s got an ‘m’ in it,” said Hagrid.","['Harry', 'Hagrid', 'Hagrid']","['Hagrid', 'Hagrid']"
"He did look very green, and when the cart stopped at 
last beside a small door in the passage wall, Hagrid 
got out and had to lean against the wall to stop his 
knees from trembling.",['Hagrid'],['Hagrid']
"“All yours,” smiled Hagrid.",['Hagrid'],['Hagrid']
"They went rattling over 
an underground ravine, and Harry leaned over the 
side to try to see what was down at the dark bottom, 
but Hagrid groaned and pulled him back by the scruff 
of his neck.","['Harry', 'Hagrid']",['Hagrid']
"

“Come on, back in this infernal cart, and don’t talk to 
me on the way back, it’s best if I keep me mouth 
shut,” said Hagrid.",['Hagrid'],['Hagrid']
"Page | 85 Harry Potter and the Philosophers Stone - J.K. Rowling 




“Might as well get yer uniform,” said Hagrid, nodding 
toward Madam Malkin’s Robes for All Occasions. 
","['85', 'Harry Potter', 'the Philosophers Stone - J.K. Rowling', 'Hagrid', 'Madam Malkin’s Robes for All Occasions']",['Hagrid']
"Harry was rather quiet as he ate the ice cream Hagrid 
had bought him (chocolate and raspberry with 
chopped nuts).","['Harry', 'Hagrid']",['Hagrid']
"“What’s up?” said Hagrid. 

",['Hagrid'],['Hagrid']
"When 
they had left the shop, he said, “Hagrid, what’s 
Quidditch?”",['Hagrid'],['Hagrid']
"He told 
Hagrid about the pale boy in Madam Malkin’s. 

“ — and he said people from Muggle families shouldn’t 
even be allowed in — ” 

“Yer not from a Muggle family.","['Hagrid', 'Madam Malkin’s', 'Muggle', 'Muggle']",['Hagrid']
",” said Hagrid darkly. 
",['Hagrid'],['Hagrid']
"You-Know-Who was one.” 

“Vol-, sorry — You-Know-Who was at Hogwarts?” 

“Years an’ years ago,” said Hagrid. 

","['Years an’ years ago', 'Hagrid']",['Hagrid']
"

“I’m not sayin’ that’s not a good idea, but yer not ter 
use magic in the Muggle world except in very special 
circumstances,” said Hagrid.","['Muggle', 'Hagrid']",['Hagrid']
"While 
Hagrid asked the man behind the counter for a 
supply of some basic potion ingredients for Harry, 
Harry himself examined silver unicorn horns at 
twenty-one Galleons each and minuscule, glittery- 
black beetle eyes (five Knuts a scoop).","['Hagrid', 'Harry', 'Harry', 'twenty-one', 'five', 'Knuts']",['Hagrid']
"“Don’ mention it,” said Hagrid gruffly.",['Hagrid'],['Hagrid']
"It was a tiny place, 
empty except for a single, spindly chair that Hagrid 
sat on to wait.",['Hagrid'],['Hagrid']
"...” 

He shook his head and then, to Harry’s relief, spotted 
Hagrid.","['Harry', 'Hagrid']",['Hagrid']
"Oak, sixteen inches, rather bendy, wasn’t it?” 

“It was, sir, yes,” said Hagrid.","['sixteen', 'Hagrid']",['Hagrid']
"“Er — yes, they did, yes,” said Hagrid, shuffling his 
feet.",['Hagrid'],['Hagrid']
"

“Oh, no, sir,” said Hagrid quickly.",['Hagrid'],['Hagrid']
"“Hmmm,” said Mr. Ollivander, giving Hagrid a 
piercing look.","['Ollivander', 'Hagrid']",['Hagrid']
"The late afternoon sun hung low in the sky as Harry 
and Hagrid made their way back down Diagon Alley, 
back through the wall, back through the Leaky 
Cauldron, now empty.","['late afternoon', 'Harry', 'Hagrid', 'Diagon Alley', 'Leaky', 'Cauldron']",['Hagrid']
"Up another escalator, out into 
Paddington station; Harry only realized where they 
were when Hagrid tapped him on the shoulder.","['Paddington', 'Harry', 'Hagrid']",['Hagrid']
"Yer very quiet,” said Hagrid. 

",['Hagrid'],['Hagrid']
"“All 
those people in the Leaky Cauldron, Professor 

Page | 96 Harry Potter and the Philosophers Stone - J.K. Rowling 




Quirrell, Mr. Ollivander ...","['Leaky Cauldron', '96', 'Harry Potter', 'the Philosophers Stone - J.K. Rowling', 'Quirrell', 'Ollivander']",['Quirrell']
"Harry wanted to 
watch Hagrid until he was out of sight; he rose in his 
seat and pressed his nose against the window, but he 
blinked and Hagrid had gone. 



","['Harry', 'Hagrid', 'Hagrid']","['Hagrid', 'Hagrid']"
"He pulled the ticket Hagrid had given him out of 
his pocket. 

",['Hagrid'],['Hagrid']
"

“Nine and three-quarters!” piped a small girl, also red- 
headed, who was holding her hand, “Mom, can’t I go 



“You’re not old enough, Ginny, now be quiet.","['Nine', 'three-quarters', 'Ginny']",['Ginny']
"Ron’s 
new, too.”",['Ron'],['Ron']
"Go on, go now before Ron.” 

",['Ron'],['Ron']
"

“Shut up,” said Ron. 

",['Ron'],['Ron']
And look after Ron.”,['Ron'],['Ron']
"

“Shut up,” said Ron again.",['Ron'],['Ron']
"oh please. ...” 

“You’ve already seen him, Ginny, and the poor boy 
isn’t something you goggle at in a zoo.",['Ginny'],['Ginny']
"

“Don’t, Ginny, we’ll send you loads of owls.”",['Ginny'],['Ginny']
"

“Hey, Ron.”",['Ron'],['Ron']
"

“Right,” mumbled Ron. 

",['Ron'],['Ron']
"And this is Ron, 
our brother.",['Ron'],['Ron']
"

“Bye,” said Harry and Ron.","['Harry', 'Ron']",['Ron']
"Ron blurted out. 

",['Ron'],['Ron']
"“Oh — well, I thought it might be one of Fred and 
George’s jokes,” said Ron.","['Fred', 'George', 'Ron']",['Ron']
"Ron stared. 

",['Ron'],['Ron']
"

“Nothing?” said Ron eagerly.",['Ron'],['Ron']
"



“Wow,” said Ron.",['Ron'],['Ron']
"

“Are all your family wizards?” asked Harry, who found 
Ron just as interesting as Ron found him. 

","['Harry', 'Ron', 'Ron']","['Ron', 'Ron']"
"“Er — yes, I think so,” said Ron.",['Ron'],['Ron']
"

“I heard you went to live with Muggles,” said Ron. 
",['Ron'],['Ron']
"

“Five,” said Ron.","['Five', 'Ron']",['Ron']
"

Ron reached inside his jacket and pulled out a fat 
gray rat, which was asleep.",['Ron'],['Ron']
"

Ron’s ears went pink.",['Ron'],['Ron']
"After all, he’d never had 
any money in his life until a month ago, and he told 
Ron so, all about having to wear Dudley’s old clothes 
and never getting proper birthday presents.","['a month ago', 'Ron', 'Dudley']",['Ron']
"This 
seemed to cheer Ron up. 

""... and until Hagrid told me, I didn’t know anything 
about being a wizard or about my parents or 
Voldemort — ” 

Ron gasped. 

","['Ron', 'Hagrid', 'Voldemort', 'Ron']","['Ron', 'Hagrid', 'Ron']"
"“ You said You-Know-Who’s name\” said Ron, sounding 
both shocked and impressed.",['Ron'],['Ron']
"

Around half past twelve there was a great clattering 
outside in the corridor and a smiling, dimpled woman 
slid back their door and said, “Anything off the cart, 
dears?” 

Harry, who hadn’t had any breakfast, leapt to his feet, 
but Ron’s ears went pink again and he muttered that 
he’d brought sandwiches.","['Around half past twelve', 'Harry', 'Ron']",['Ron']
"Ron stared as Harry brought it all back in to the 
compartment and tipped it onto an empty seat.","['Ron', 'Harry']",['Ron']
"Ron had taken out a lumpy package and unwrapped 
it.",['Ron'],['Ron']
"“Go on — ” 

“You don’t want this, it’s all dry,” said Ron.",['Ron'],['Ron']
"It was a nice feeling, sitting there with Ron, 
eating their way through all Harry’s pasties, cakes, 
and candies (the sandwiches lay forgotten).","['Ron', 'Harry']",['Ron']
"Harry asked Ron, holding up a 
pack of Chocolate Frogs.","['Harry', 'Ron', 'Chocolate Frogs']",['Ron']
"“No,” said Ron.",['Ron'],['Ron']
"“So this is Dumbledore!” said Harry. 

“Don’t tell me you’d never heard of Dumbledore!” said 
Ron.","['Dumbledore', 'Harry', 'Dumbledore', 'Ron']","['Dumbledore', 'Dumbledore', 'Ron']"
"I might get Agrippa — thanks 



Harry turned over his card and read: 

ALBUS DUMBLEDORE 

CURRENTLY HEADMASTER OF HOGWARTS 

Considered by many the greatest wizard of modern 
times, Dumbledore is particularly famous for his 
defeat of the Dark wizard Grindelwald in 1945, for the 
discovery of the twelve uses of dragon’s blood, and his 
work on alchemy with his partner, Nicolas Flamel. 
","['Agrippa', 'Harry', 'Dumbledore', 'Dark', 'Grindelwald', '1945', 'twelve', 'Nicolas Flamel']",['Dumbledore']
"Professor Dumbledore enjoys chamber music and ten 
pin bowling. 

","['Dumbledore', 'ten']",['Dumbledore']
"Harry turned the card back over and saw, to his 
astonishment, that Dumbledore ’s face had 
disappeared.","['Harry', 'Dumbledore']",['Dumbledore']
"

“Well, you can’t expect him to hang around all day,” 
said Ron.",['Ron'],['Ron']
"

Ron’s eyes strayed to the pile of Chocolate Frogs 
waiting to be unwrapped.","['Ron', 'Chocolate Frogs']",['Ron']
"Ron sounded 
amazed.",['Ron'],['Ron']
"



Harry stared as Dumbledore sidled back into the 
picture on his card and gave him a small smile.","['Harry', 'Dumbledore']",['Dumbledore']
"Ron 
was more interested in eating the frogs than looking 
at the Famous Witches and Wizards cards, but Harry 
couldn’t keep his eyes off them.","['Ron', 'the Famous Witches', 'Wizards', 'Harry']",['Ron']
"Soon he had not only 
Dumbledore and Morgana, but Hengist of Woodcraft, 
Alberic Grunnion, Circe, Paracelsus, and Merlin.","['Dumbledore', 'Morgana', 'Hengist of Woodcraft', 'Alberic Grunnion', 'Circe', 'Paracelsus', 'Merlin']",['Dumbledore']
"

“You want to be careful with those,” Ron warned 
Harry.","['Ron', 'Harry']",['Ron']
"

Ron picked up a green bean, looked at it carefully, 
and bit into a corner.",['Ron'],['Ron']
"Harry got toast, coconut, baked bean, strawberry, 
curry, grass, coffee, sardine, and was even brave 
enough to nibble the end off a funny gray one Ron 
wouldn’t touch, which turned out to be pepper.","['Harry', 'strawberry', 'Ron']",['Ron']
"

“Don’t know why he’s so bothered,” said Ron.",['Ron'],['Ron']
"

The rat was still snoozing on Ron’s lap.",['Ron'],['Ron']
"“He might have died and you wouldn’t know the 
difference,” said Ron in disgust.",['Ron'],['Ron']
"“We’ve already told him we haven’t seen it,” said Ron, 
but the girl wasn’t listening, she was looking at the 
wand in his hand.",['Ron'],['Ron']
Ron looked taken aback.,['Ron'],['Ron']
"Harry looked at Ron, and was relieved to see by his 
stunned face that he hadn’t learned all the course 
books by heart either. 

","['Harry', 'Ron']",['Ron']
"“I’m Ron Weasley,” Ron muttered. 

“Harry Potter,” said Harry. 



","['Ron Weasley', 'Ron', 'Harry Potter', 'Harry']",['Ron']
"I’ve been 
asking around, and I hope I’m in Gryffindor, it sounds 
by far the best; I hear Dumbledore himself was in it, 
",['Dumbledore'],['Dumbledore']
