start_sent,sentences,entities
28,"Harry was particularly keen to avoid trouble with his 
aunt and uncle at the moment, as they were already 
in an especially bad mood with him, all because he’d 
received a telephone call from a fellow wizard one 
week into the school vacation. 

 Ron Weasley, who was one of Harry’s best friends at 
Hogwarts, came from a whole family of wizards. This 
meant that he knew a lot of things Harry didn’t, but 
had never used a telephone before.","['Harry', 'Ron', 'uncle', 'the']"
29,"Ron Weasley, who was one of Harry’s best friends at 
Hogwarts, came from a whole family of wizards. This 
meant that he knew a lot of things Harry didn’t, but 
had never used a telephone before. Most unluckily it 
had been Uncle Vernon who had answered the call. 

","['Vernon', 'the', 'Uncle', 'Harry', 'Ron']"
30,"This 
meant that he knew a lot of things Harry didn’t, but 
had never used a telephone before. Most unluckily it 
had been Uncle Vernon who had answered the call. 

 “Vernon Dursley speaking.” 

","['Vernon', 'Vernon Dursley', 'the', 'Uncle', 'Harry']"
31,"Most unluckily it 
had been Uncle Vernon who had answered the call. 

 “Vernon Dursley speaking.” 

 Harry, who happened to be in the room at the time, 
froze as he heard Ron’s voice answer. 



","['Vernon', 'Vernon Dursley', 'the', 'Harry', 'Uncle', 'Ron']"
32,"“Vernon Dursley speaking.” 

 Harry, who happened to be in the room at the time, 
froze as he heard Ron’s voice answer. 



 Page | 4 Harry Potter and the Prisoner of Azkaban - J.K. Rowling 




","['Vernon Dursley', 'the', 'Harry Potter', 'Harry', 'Ron']"
33,"Harry, who happened to be in the room at the time, 
froze as he heard Ron’s voice answer. 



 Page | 4 Harry Potter and the Prisoner of Azkaban - J.K. Rowling 




 “HELLO? HELLO?","['Harry', 'Harry Potter', 'Ron', 'the']"
34,"Page | 4 Harry Potter and the Prisoner of Azkaban - J.K. Rowling 




 “HELLO? HELLO? CAN YOU HEAR ME?","['Harry Potter', 'the']"
35,"“HELLO? HELLO? CAN YOU HEAR ME? I — WANT — 
TO — TALK — TO — HARRY — POTTER!” 

",['HARRY']
36,"CAN YOU HEAR ME? I — WANT — 
TO — TALK — TO — HARRY — POTTER!” 

 Ron was yelling so loudly that Uncle Vernon jumped 
and held the receiver a foot away from his ear, staring 
at it with an expression of mingled fury and alarm. 

","['Vernon', 'HARRY', 'the', 'Uncle', 'Ron']"
37,"I — WANT — 
TO — TALK — TO — HARRY — POTTER!” 

 Ron was yelling so loudly that Uncle Vernon jumped 
and held the receiver a foot away from his ear, staring 
at it with an expression of mingled fury and alarm. 

 “WHO IS THIS?”","['Vernon', 'HARRY', 'the', 'Uncle', 'Ron']"
38,"Ron was yelling so loudly that Uncle Vernon jumped 
and held the receiver a foot away from his ear, staring 
at it with an expression of mingled fury and alarm. 

 “WHO IS THIS?” he roared in the direction of the 
mouthpiece.","['Vernon', 'Uncle', 'Ron', 'the']"
39,"“WHO IS THIS?” he roared in the direction of the 
mouthpiece. “WHO ARE YOU?” 

“RON — WEASLEY!”","['RON', 'the']"
40,"he roared in the direction of the 
mouthpiece. “WHO ARE YOU?” 

“RON — WEASLEY!” Ron bellowed back, as though he 
and Uncle Vernon were speaking from opposite ends 
of a football field.","['Vernon', 'RON', 'the', 'Uncle', 'Ron']"
41,"“WHO ARE YOU?” 

“RON — WEASLEY!” Ron bellowed back, as though he 
and Uncle Vernon were speaking from opposite ends 
of a football field. “I’M — A — FRIEND — OF — 
HARRY’S — FROM — SCHOOL — ” 

Uncle Vernon’s small eyes swiveled around to Harry, 
who was rooted to the spot. 

","['Vernon', 'HARRY', 'RON', 'the', 'Harry', 'Uncle', 'Ron']"
42,"Ron bellowed back, as though he 
and Uncle Vernon were speaking from opposite ends 
of a football field. “I’M — A — FRIEND — OF — 
HARRY’S — FROM — SCHOOL — ” 

Uncle Vernon’s small eyes swiveled around to Harry, 
who was rooted to the spot. 

 “THERE IS NO HARRY POTTER HERE!”","['Vernon', 'HARRY', 'the', 'Harry', 'HARRY POTTER', 'Uncle', 'Ron']"
43,"“I’M — A — FRIEND — OF — 
HARRY’S — FROM — SCHOOL — ” 

Uncle Vernon’s small eyes swiveled around to Harry, 
who was rooted to the spot. 

 “THERE IS NO HARRY POTTER HERE!” he roared, 
now holding the receiver at arm’s length, as though 
frightened it might explode.","['Vernon', 'HARRY', 'the', 'Harry', 'HARRY POTTER', 'Uncle']"
44,"“THERE IS NO HARRY POTTER HERE!” he roared, 
now holding the receiver at arm’s length, as though 
frightened it might explode. “I DONT KNOW WHAT 
SCHOOL YOU’RE TALKING ABOUT!","['the', 'HARRY POTTER']"
45,"he roared, 
now holding the receiver at arm’s length, as though 
frightened it might explode. “I DONT KNOW WHAT 
SCHOOL YOU’RE TALKING ABOUT! NEVER 
CONTACT ME AGAIN!",['the']
47,"NEVER 
CONTACT ME AGAIN! DONT YOU COME NEAR MY 
FAMILY!” 

 And he threw the receiver back onto the telephone as 
if dropping a poisonous spider. 

",['the']
48,"DONT YOU COME NEAR MY 
FAMILY!” 

 And he threw the receiver back onto the telephone as 
if dropping a poisonous spider. 

 The fight that had followed had been one of the worst 
ever. 

","['The', 'the']"
49,"And he threw the receiver back onto the telephone as 
if dropping a poisonous spider. 

 The fight that had followed had been one of the worst 
ever. 

 “HOW DARE YOU GIVE THIS NUMBER TO PEOPLE 
LIKE — PEOPLE LIKE YOU!”","['The', 'the']"
50,"The fight that had followed had been one of the worst 
ever. 

 “HOW DARE YOU GIVE THIS NUMBER TO PEOPLE 
LIKE — PEOPLE LIKE YOU!” Uncle Vernon had 
roared, spraying Harry with spit. 

","['Vernon', 'the', 'Harry', 'The', 'Uncle']"
51,"“HOW DARE YOU GIVE THIS NUMBER TO PEOPLE 
LIKE — PEOPLE LIKE YOU!” Uncle Vernon had 
roared, spraying Harry with spit. 

 Ron obviously realized that he’d gotten Harry into 
trouble, because he hadn’t called again.","['Vernon', 'Uncle', 'Ron', 'Harry']"
52,"Uncle Vernon had 
roared, spraying Harry with spit. 

 Ron obviously realized that he’d gotten Harry into 
trouble, because he hadn’t called again. Harry’s other 
best friend from Hogwarts, Hermione Granger, hadn’t 
been in touch either.","['Vernon', 'Hermione Granger', 'Harry', 'Uncle', 'Ron']"
53,"Ron obviously realized that he’d gotten Harry into 
trouble, because he hadn’t called again. Harry’s other 
best friend from Hogwarts, Hermione Granger, hadn’t 
been in touch either. Harry suspected that Ron had 

Page | 5 Harry Potter and the Prisoner of Azkaban - J.K. Rowling 




warned Hermione not to call, which was a pity, 
because Hermione, the cleverest witch in Harry’s 
year, had Muggle parents, knew perfectly well how to 
use a telephone, and would probably have had 
enough sense not to say that she went to Hogwarts. 

","['Hermione Granger', 'Hermione', 'the', 'Harry Potter', 'Harry', 'Ron']"
54,"Harry’s other 
best friend from Hogwarts, Hermione Granger, hadn’t 
been in touch either. Harry suspected that Ron had 

Page | 5 Harry Potter and the Prisoner of Azkaban - J.K. Rowling 




warned Hermione not to call, which was a pity, 
because Hermione, the cleverest witch in Harry’s 
year, had Muggle parents, knew perfectly well how to 
use a telephone, and would probably have had 
enough sense not to say that she went to Hogwarts. 

 So Harry had had no word from any of his wizarding 
friends for five long weeks, and this summer was 
turning out to be almost as bad as the last one.","['Hermione Granger', 'Hermione', 'the', 'Harry Potter', 'Harry', 'Ron']"
55,"Harry suspected that Ron had 

Page | 5 Harry Potter and the Prisoner of Azkaban - J.K. Rowling 




warned Hermione not to call, which was a pity, 
because Hermione, the cleverest witch in Harry’s 
year, had Muggle parents, knew perfectly well how to 
use a telephone, and would probably have had 
enough sense not to say that she went to Hogwarts. 

 So Harry had had no word from any of his wizarding 
friends for five long weeks, and this summer was 
turning out to be almost as bad as the last one. There 
was just one very small improvement — after 
swearing that he wouldn’t use her to send letters to 
any of his friends, Harry had been allowed to let his 
owl, Hedwig, out at night.","['Hermione', 'Hedwig', 'the', 'Harry Potter', 'Harry', 'Ron']"
56,"So Harry had had no word from any of his wizarding 
friends for five long weeks, and this summer was 
turning out to be almost as bad as the last one. There 
was just one very small improvement — after 
swearing that he wouldn’t use her to send letters to 
any of his friends, Harry had been allowed to let his 
owl, Hedwig, out at night. Uncle Vernon had given in 
because of the racket Hedwig made if she was locked 
in her cage all the time. 

","['Vernon', 'Hedwig', 'the', 'Uncle', 'Harry']"
57,"There 
was just one very small improvement — after 
swearing that he wouldn’t use her to send letters to 
any of his friends, Harry had been allowed to let his 
owl, Hedwig, out at night. Uncle Vernon had given in 
because of the racket Hedwig made if she was locked 
in her cage all the time. 

 Harry finished writing about Wendelin the Weird and 
paused to listen again.","['Vernon', 'Wendelin the Weird', 'Hedwig', 'the', 'Uncle', 'Harry']"
58,"Uncle Vernon had given in 
because of the racket Hedwig made if she was locked 
in her cage all the time. 

 Harry finished writing about Wendelin the Weird and 
paused to listen again. The silence in the dark house 
was broken only by the distant, grunting snores of his 
enormous cousin, Dudley.","['Vernon', 'Wendelin the Weird', 'Hedwig', 'the', 'Harry', 'Dudley', 'The', 'Uncle']"
59,"Harry finished writing about Wendelin the Weird and 
paused to listen again. The silence in the dark house 
was broken only by the distant, grunting snores of his 
enormous cousin, Dudley. It must be very late, Harry 
thought.","['Wendelin the Weird', 'the', 'Dudley', 'The', 'Harry']"
60,"The silence in the dark house 
was broken only by the distant, grunting snores of his 
enormous cousin, Dudley. It must be very late, Harry 
thought. His eyes were itching with tiredness. 

","['The', 'Harry', 'Dudley', 'the']"
61,"It must be very late, Harry 
thought. His eyes were itching with tiredness. 

 Perhaps he’d finish this essay tomorrow night.",['Harry']
63,"Perhaps he’d finish this essay tomorrow night. ... 

 He replaced the top of the ink bottle; pulled an old 
pillowcase from under his bed; put the flashlight, A 
History of Magic, his essay, quill, and ink inside it; got 
out of bed; and hid the lot under a loose floorboard 
under his bed.","['Magic', 'the']"
64,"... 

 He replaced the top of the ink bottle; pulled an old 
pillowcase from under his bed; put the flashlight, A 
History of Magic, his essay, quill, and ink inside it; got 
out of bed; and hid the lot under a loose floorboard 
under his bed. Then he stood up, stretched, and 
checked the time on the luminous alarm clock on his 
bedside table. 

","['Magic', 'the']"
65,"He replaced the top of the ink bottle; pulled an old 
pillowcase from under his bed; put the flashlight, A 
History of Magic, his essay, quill, and ink inside it; got 
out of bed; and hid the lot under a loose floorboard 
under his bed. Then he stood up, stretched, and 
checked the time on the luminous alarm clock on his 
bedside table. 

 It was one o’clock in the morning.","['Magic', 'the']"
66,"Then he stood up, stretched, and 
checked the time on the luminous alarm clock on his 
bedside table. 

 It was one o’clock in the morning. Harry’s stomach 
gave a funny jolt.","['Harry', 'the']"
67,"It was one o’clock in the morning. Harry’s stomach 
gave a funny jolt. He had been thirteen years old, 
without realizing it, for a whole hour. 

","['Harry', 'the']"
68,"Harry’s stomach 
gave a funny jolt. He had been thirteen years old, 
without realizing it, for a whole hour. 

 Yet another unusual thing about Harry was how little 
he looked forward to his birthdays.",['Harry']
69,"He had been thirteen years old, 
without realizing it, for a whole hour. 

 Yet another unusual thing about Harry was how little 
he looked forward to his birthdays. He had never 
received a birthday card in his life.",['Harry']
70,"Yet another unusual thing about Harry was how little 
he looked forward to his birthdays. He had never 
received a birthday card in his life. The Dursleys had 



Page | 6 Harry Potter and the Prisoner of Azkaban - J.K. Rowling 




completely ignored his last two birthdays, and he had 
no reason to suppose they would remember this one. 

","['The', 'Harry', 'Harry Potter', 'the']"
71,"He had never 
received a birthday card in his life. The Dursleys had 



Page | 6 Harry Potter and the Prisoner of Azkaban - J.K. Rowling 




completely ignored his last two birthdays, and he had 
no reason to suppose they would remember this one. 

 Harry walked across the dark room, past Hedwig’s 
large, empty cage, to the open window.","['Hedwig', 'the', 'Harry Potter', 'The', 'Harry']"
72,"The Dursleys had 



Page | 6 Harry Potter and the Prisoner of Azkaban - J.K. Rowling 




completely ignored his last two birthdays, and he had 
no reason to suppose they would remember this one. 

 Harry walked across the dark room, past Hedwig’s 
large, empty cage, to the open window. He leaned on 
the sill, the cool night air pleasant on his face after a 
long time under the blankets.","['Hedwig', 'the', 'Harry Potter', 'face', 'The', 'Harry']"
73,"Harry walked across the dark room, past Hedwig’s 
large, empty cage, to the open window. He leaned on 
the sill, the cool night air pleasant on his face after a 
long time under the blankets. Hedwig had been 
absent for two nights now.","['Harry', 'face', 'Hedwig', 'the']"
74,"He leaned on 
the sill, the cool night air pleasant on his face after a 
long time under the blankets. Hedwig had been 
absent for two nights now. Harry wasn’t worried 
about her: she’d been gone this long before.","['Harry', 'face', 'Hedwig', 'the']"
75,"Hedwig had been 
absent for two nights now. Harry wasn’t worried 
about her: she’d been gone this long before. But he 
hoped she’d be back soon — she was the only living 
creature in this house who didn’t flinch at the sight of 
him. 

","['Harry', 'Hedwig', 'the']"
76,"Harry wasn’t worried 
about her: she’d been gone this long before. But he 
hoped she’d be back soon — she was the only living 
creature in this house who didn’t flinch at the sight of 
him. 

 Harry, though still rather small and skinny for his 
age, had grown a few inches over the last year.","['Harry', 'the']"
77,"But he 
hoped she’d be back soon — she was the only living 
creature in this house who didn’t flinch at the sight of 
him. 

 Harry, though still rather small and skinny for his 
age, had grown a few inches over the last year. His 
jet-black hair, however, was just as it always had 
been — stubbornly untidy, whatever he did to it.","['Harry', 'black', 'the']"
78,"Harry, though still rather small and skinny for his 
age, had grown a few inches over the last year. His 
jet-black hair, however, was just as it always had 
been — stubbornly untidy, whatever he did to it. The 
eyes behind his glasses were bright green, and on his 
forehead, clearly visible through his hair, was a thin 
scar, shaped like a bolt of lightning. 

","['The', 'Harry', 'black', 'the']"
79,"His 
jet-black hair, however, was just as it always had 
been — stubbornly untidy, whatever he did to it. The 
eyes behind his glasses were bright green, and on his 
forehead, clearly visible through his hair, was a thin 
scar, shaped like a bolt of lightning. 

 Of all the unusual things about Harry, this scar was 
the most extraordinary of all.","['The', 'Harry', 'black', 'the']"
80,"The 
eyes behind his glasses were bright green, and on his 
forehead, clearly visible through his hair, was a thin 
scar, shaped like a bolt of lightning. 

 Of all the unusual things about Harry, this scar was 
the most extraordinary of all. It was not, as the 
Dursleys had pretended for ten years, a souvenir of 
the car crash that had killed Harry’s parents, because 
Lily and James Potter had not died in a car crash. 
","['Lily', 'the', 'James Potter', 'The', 'Harry']"
81,"Of all the unusual things about Harry, this scar was 
the most extraordinary of all. It was not, as the 
Dursleys had pretended for ten years, a souvenir of 
the car crash that had killed Harry’s parents, because 
Lily and James Potter had not died in a car crash. 
 They had been murdered, murdered by the most 
feared Dark wizard for a hundred years, Lord 
Voldemort.","['Lord', 'Lily', 'the', 'James Potter', 'Harry', 'Voldemort']"
82,"It was not, as the 
Dursleys had pretended for ten years, a souvenir of 
the car crash that had killed Harry’s parents, because 
Lily and James Potter had not died in a car crash. 
 They had been murdered, murdered by the most 
feared Dark wizard for a hundred years, Lord 
Voldemort. Harry had escaped from the same attack 
with nothing more than a scar on his forehead, where 
Voldemort’s curse, instead of killing him, had 
rebounded upon its originator.","['Lord', 'Lily', 'the', 'James Potter', 'Harry', 'Voldemort']"
83,"They had been murdered, murdered by the most 
feared Dark wizard for a hundred years, Lord 
Voldemort. Harry had escaped from the same attack 
with nothing more than a scar on his forehead, where 
Voldemort’s curse, instead of killing him, had 
rebounded upon its originator. Barely alive, 

Voldemort had fled.","['Lord', 'Harry', 'Voldemort', 'the']"
84,"Harry had escaped from the same attack 
with nothing more than a scar on his forehead, where 
Voldemort’s curse, instead of killing him, had 
rebounded upon its originator. Barely alive, 

Voldemort had fled. ... 

","['Harry', 'Voldemort', 'the']"
85,"Barely alive, 

Voldemort had fled. ... 

 But Harry had come face-to-face with him at 
Hogwarts.","['Harry', 'Voldemort', 'face']"
86,"... 

 But Harry had come face-to-face with him at 
Hogwarts. Remembering their last meeting as he 
stood at the dark window, Harry had to admit he was 
lucky even to have reached his thirteenth birthday. 



","['the', 'Harry', 'face']"
87,"But Harry had come face-to-face with him at 
Hogwarts. Remembering their last meeting as he 
stood at the dark window, Harry had to admit he was 
lucky even to have reached his thirteenth birthday. 



 Page | 7 Harry Potter and the Prisoner of Azkaban - J.K. Rowling 




He scanned the starry sky for a sign of Hedwig, 
perhaps soaring back to him with a dead mouse 
dangling from her beak, expecting praise.","['Hedwig', 'the', 'Harry Potter', 'face', 'Harry']"
88,"Remembering their last meeting as he 
stood at the dark window, Harry had to admit he was 
lucky even to have reached his thirteenth birthday. 



 Page | 7 Harry Potter and the Prisoner of Azkaban - J.K. Rowling 




He scanned the starry sky for a sign of Hedwig, 
perhaps soaring back to him with a dead mouse 
dangling from her beak, expecting praise. Gazing 
absently over the rooftops, it was a few seconds before 
Harry realized what he was seeing. 

","['Harry', 'Harry Potter', 'Hedwig', 'the']"
89,"Page | 7 Harry Potter and the Prisoner of Azkaban - J.K. Rowling 




He scanned the starry sky for a sign of Hedwig, 
perhaps soaring back to him with a dead mouse 
dangling from her beak, expecting praise. Gazing 
absently over the rooftops, it was a few seconds before 
Harry realized what he was seeing. 

 Silhouetted against the golden moon, and growing 
larger every moment, was a large, strangely lopsided 
creature, and it was flapping in Harry’s direction.","['Harry', 'Harry Potter', 'Hedwig', 'the']"
