start_sent,sentences,entities
36,"They were whispering 
excitedly together. Mr. Dursley was enraged to see 
that a couple of them weren’t young at all; why, that 
man had to be older than he was, and wearing an 
emerald-green cloak! The nerve of him!",['The']
37,"Mr. Dursley was enraged to see 
that a couple of them weren’t young at all; why, that 
man had to be older than he was, and wearing an 
emerald-green cloak! The nerve of him! But then it 
struck Mr. Dursley that this was probably some silly 
stunt — these people were obviously collecting for 
something ...",['The']
38,"The nerve of him! But then it 
struck Mr. Dursley that this was probably some silly 
stunt — these people were obviously collecting for 
something ... yes, that would be it.",['The']
39,"But then it 
struck Mr. Dursley that this was probably some silly 
stunt — these people were obviously collecting for 
something ... yes, that would be it. The traffic moved 
on and a few minutes later, Mr. Dursley arrived in the 
Grunnings parking lot, his mind back on drills. 

","['The', 'the']"
40,"yes, that would be it. The traffic moved 
on and a few minutes later, Mr. Dursley arrived in the 
Grunnings parking lot, his mind back on drills. 

 Mr. Dursley always sat with his back to the window in 
his office on the ninth floor.","['The', 'the']"
41,"The traffic moved 
on and a few minutes later, Mr. Dursley arrived in the 
Grunnings parking lot, his mind back on drills. 

 Mr. Dursley always sat with his back to the window in 
his office on the ninth floor. If he hadn’t, he might 
have found it harder to concentrate on drills that 
morning.","['The', 'the']"
42,"Mr. Dursley always sat with his back to the window in 
his office on the ninth floor. If he hadn’t, he might 
have found it harder to concentrate on drills that 
morning. He didn’t see the owls swooping past in 
broad daylight, though people down in the street did; 
they pointed and gazed open-mouthed as owl after 
owl sped overhead.",['the']
43,"If he hadn’t, he might 
have found it harder to concentrate on drills that 
morning. He didn’t see the owls swooping past in 
broad daylight, though people down in the street did; 
they pointed and gazed open-mouthed as owl after 
owl sped overhead. Most of them had never seen an 
owl even at nighttime.",['the']
44,"He didn’t see the owls swooping past in 
broad daylight, though people down in the street did; 
they pointed and gazed open-mouthed as owl after 
owl sped overhead. Most of them had never seen an 
owl even at nighttime. Mr. Dursley, however, had a 
perfectly normal, owl-free morning.",['the']
46,"Mr. Dursley, however, had a 
perfectly normal, owl-free morning. He yelled at five 
different people. He made several important telephone 
Page | 4 Harry Potter and the Philosophers Stone - J.K. Rowling 




calls and shouted a bit more.","['Harry Potter', 'the']"
47,"He yelled at five 
different people. He made several important telephone 
Page | 4 Harry Potter and the Philosophers Stone - J.K. Rowling 




calls and shouted a bit more. He was in a very good 
mood until lunchtime, when he thought he’d stretch 
his legs and walk across the road to buy himself a 
bun from the bakery. 

","['Harry Potter', 'the']"
48,"He made several important telephone 
Page | 4 Harry Potter and the Philosophers Stone - J.K. Rowling 




calls and shouted a bit more. He was in a very good 
mood until lunchtime, when he thought he’d stretch 
his legs and walk across the road to buy himself a 
bun from the bakery. 

 He’d forgotten all about the people in cloaks until he 
passed a group of them next to the baker’s.","['Harry Potter', 'group', 'the']"
49,"He was in a very good 
mood until lunchtime, when he thought he’d stretch 
his legs and walk across the road to buy himself a 
bun from the bakery. 

 He’d forgotten all about the people in cloaks until he 
passed a group of them next to the baker’s. He eyed 
them angrily as he passed.","['group', 'the']"
50,"He’d forgotten all about the people in cloaks until he 
passed a group of them next to the baker’s. He eyed 
them angrily as he passed. He didn’t know why, but 
they made him uneasy.","['group', 'the']"
53,"This bunch were whispering 
excitedly, too, and he couldn’t see a single collecting 
tin. It was on his way back past them, clutching a 
large doughnut in a bag, that he caught a few words 
of what they were saying. 

 “The Potters, that’s right, that’s what I heard — ” 

“ — yes, their son, Harry — ” 

Mr. Dursley stopped dead.","['The', 'Harry']"
54,"It was on his way back past them, clutching a 
large doughnut in a bag, that he caught a few words 
of what they were saying. 

 “The Potters, that’s right, that’s what I heard — ” 

“ — yes, their son, Harry — ” 

Mr. Dursley stopped dead. Fear flooded him.","['The', 'Harry']"
55,"“The Potters, that’s right, that’s what I heard — ” 

“ — yes, their son, Harry — ” 

Mr. Dursley stopped dead. Fear flooded him. He 
looked back at the whisperers as if he wanted to say 
something to them, but thought better of it. 

","['The', 'Harry', 'the']"
56,"Fear flooded him. He 
looked back at the whisperers as if he wanted to say 
something to them, but thought better of it. 

 He dashed back across the road, hurried up to his 
office, snapped at his secretary not to disturb him, 
seized his telephone, and had almost finished dialing 
his home number when he changed his mind.",['the']
57,"He 
looked back at the whisperers as if he wanted to say 
something to them, but thought better of it. 

 He dashed back across the road, hurried up to his 
office, snapped at his secretary not to disturb him, 
seized his telephone, and had almost finished dialing 
his home number when he changed his mind. He put 
the receiver back down and stroked his mustache, 
thinking ...",['the']
58,"He dashed back across the road, hurried up to his 
office, snapped at his secretary not to disturb him, 
seized his telephone, and had almost finished dialing 
his home number when he changed his mind. He put 
the receiver back down and stroked his mustache, 
thinking ... no, he was being stupid.",['the']
59,"He put 
the receiver back down and stroked his mustache, 
thinking ... no, he was being stupid. Potter wasn’t 
such an unusual name.",['the']
60,"no, he was being stupid. Potter wasn’t 
such an unusual name. He was sure there were lots 
of people called Potter who had a son called Harry. 
",['Harry']
61,"Potter wasn’t 
such an unusual name. He was sure there were lots 
of people called Potter who had a son called Harry. 
 Come to think of it, he wasn’t even sure his nephew 
was called Harry.",['Harry']
62,"He was sure there were lots 
of people called Potter who had a son called Harry. 
 Come to think of it, he wasn’t even sure his nephew 
was called Harry. He’d never even seen the boy.","['Harry', 'the']"
63,"Come to think of it, he wasn’t even sure his nephew 
was called Harry. He’d never even seen the boy. It 
might have been Harvey.","['Harvey', 'Harry', 'the']"
64,"He’d never even seen the boy. It 
might have been Harvey. Or Harold.","['Harvey', 'Harold', 'the']"
65,"It 
might have been Harvey. Or Harold. There was no 
point in worrying Mrs. Dursley; she always got so 
upset at any mention of her sister.","['Harvey', 'Harold']"
66,"Or Harold. There was no 
point in worrying Mrs. Dursley; she always got so 
upset at any mention of her sister. He didn’t blame 
her — if he’d had a sister like that ... but all the 
same, those people in cloaks ... 



","['Harold', 'the']"
67,"There was no 
point in worrying Mrs. Dursley; she always got so 
upset at any mention of her sister. He didn’t blame 
her — if he’d had a sister like that ... but all the 
same, those people in cloaks ... 



 Page | 5 Harry Potter and the Philosophers Stone - J.K. Rowling 




","['Harry Potter', 'the']"
68,"He didn’t blame 
her — if he’d had a sister like that ... but all the 
same, those people in cloaks ... 



 Page | 5 Harry Potter and the Philosophers Stone - J.K. Rowling 




 He found it a lot harder to concentrate on drills that 
afternoon","['Harry Potter', 'the']"
69,"Page | 5 Harry Potter and the Philosophers Stone - J.K. Rowling 




 He found it a lot harder to concentrate on drills that 
afternoon and when he left the building at five o’clock, 
he was still so worried that he walked straight into 
someone just outside the door. 

","['Harry Potter', 'the']"
70,"He found it a lot harder to concentrate on drills that 
afternoon and when he left the building at five o’clock, 
he was still so worried that he walked straight into 
someone just outside the door. 

 “Sorry,” he grunted, as the tiny old man stumbled 
and almost fell.",['the']
71,"and when he left the building at five o’clock, 
he was still so worried that he walked straight into 
someone just outside the door. 

 “Sorry,” he grunted, as the tiny old man stumbled 
and almost fell. It was a few seconds before Mr. 
Dursley realized that the man was wearing a violet 
cloak.","['violet', 'the']"
72,"“Sorry,” he grunted, as the tiny old man stumbled 
and almost fell. It was a few seconds before Mr. 
Dursley realized that the man was wearing a violet 
cloak. He didn’t seem at all upset at being almost 
knocked to the ground.","['violet', 'the']"
73,"It was a few seconds before Mr. 
Dursley realized that the man was wearing a violet 
cloak. He didn’t seem at all upset at being almost 
knocked to the ground. On the contrary, his face split 
into a wide smile and he said in a squeaky voice that 
made passersby stare, “Don’t be sorry, my dear sir, 
for nothing could upset me today!","['face', 'violet', 'the']"
74,"He didn’t seem at all upset at being almost 
knocked to the ground. On the contrary, his face split 
into a wide smile and he said in a squeaky voice that 
made passersby stare, “Don’t be sorry, my dear sir, 
for nothing could upset me today! Rejoice, for You- 
Know-Who has gone at last!","['face', 'the']"
75,"On the contrary, his face split 
into a wide smile and he said in a squeaky voice that 
made passersby stare, “Don’t be sorry, my dear sir, 
for nothing could upset me today! Rejoice, for You- 
Know-Who has gone at last! Even Muggles like 
yourself should be celebrating, this happy, happy 
day!” 

","['face', 'day', 'the']"
76,"Rejoice, for You- 
Know-Who has gone at last! Even Muggles like 
yourself should be celebrating, this happy, happy 
day!” 

 And the old man hugged Mr. Dursley around the 
middle and walked off. 

","['day', 'the']"
77,"Even Muggles like 
yourself should be celebrating, this happy, happy 
day!” 

 And the old man hugged Mr. Dursley around the 
middle and walked off. 

 Mr. Dursley stood rooted to the spot.","['day', 'the']"
78,"And the old man hugged Mr. Dursley around the 
middle and walked off. 

 Mr. Dursley stood rooted to the spot. He had been 
hugged by a complete stranger.",['the']
79,"Mr. Dursley stood rooted to the spot. He had been 
hugged by a complete stranger. He also thought he 
had been called a Muggle, whatever that was.",['the']
82,"He was 
rattled. He hurried to his car and set off for home, 
hoping he was imagining things, which he had never 
hoped before, because he didn’t approve of 
imagination. 

 As he pulled into the driveway of number four, the 
first thing he saw — and it didn’t improve his mood — 
was the tabby cat he’d spotted that morning.",['the']
83,"He hurried to his car and set off for home, 
hoping he was imagining things, which he had never 
hoped before, because he didn’t approve of 
imagination. 

 As he pulled into the driveway of number four, the 
first thing he saw — and it didn’t improve his mood — 
was the tabby cat he’d spotted that morning. It was 
now sitting on his garden wall.",['the']
84,"As he pulled into the driveway of number four, the 
first thing he saw — and it didn’t improve his mood — 
was the tabby cat he’d spotted that morning. It was 
now sitting on his garden wall. He was sure it was the 
same one; it had the same markings around its eyes. 

",['the']
85,"It was 
now sitting on his garden wall. He was sure it was the 
same one; it had the same markings around its eyes. 

 “Shoo!” said Mr. Dursley loudly. 

",['the']
86,"He was sure it was the 
same one; it had the same markings around its eyes. 

 “Shoo!” said Mr. Dursley loudly. 

 The cat didn’t move.","['The', 'the']"
87,"“Shoo!” said Mr. Dursley loudly. 

 The cat didn’t move. It just gave him a stern look. 

",['The']
88,"The cat didn’t move. It just gave him a stern look. 

 Was this normal cat behavior?",['The']
90,"Was this normal cat behavior? Mr. Dursley wondered. 
 Trying to pull himself together, he let himself into the 

Page | 6 Harry Potter and the Philosophers Stone - J.K. Rowling 




house.","['Harry Potter', 'the']"
91,"Mr. Dursley wondered. 
 Trying to pull himself together, he let himself into the 

Page | 6 Harry Potter and the Philosophers Stone - J.K. Rowling 




house. He was still determined not to mention 
anything to his wife. 

","['Harry Potter', 'the']"
92,"Trying to pull himself together, he let himself into the 

Page | 6 Harry Potter and the Philosophers Stone - J.K. Rowling 




house. He was still determined not to mention 
anything to his wife. 

 Mrs. Dursley had had a nice, normal day.","['Harry Potter', 'day', 'the']"
93,"He was still determined not to mention 
anything to his wife. 

 Mrs. Dursley had had a nice, normal day. She told 
him over dinner all about Mrs. Next Door’s problems 
with her daughter and how Dudley had learned a new 
word (“Won’t!”).","['Dudley', 'day']"
94,"Mrs. Dursley had had a nice, normal day. She told 
him over dinner all about Mrs. Next Door’s problems 
with her daughter and how Dudley had learned a new 
word (“Won’t!”). Mr. Dursley tried to act normally. 
","['Dudley', 'day']"
95,"She told 
him over dinner all about Mrs. Next Door’s problems 
with her daughter and how Dudley had learned a new 
word (“Won’t!”). Mr. Dursley tried to act normally. 
 When Dudley had been put to bed, he went into the 
living room in time to catch the last report on the 
evening news: 

","['Dudley', 'the']"
96,"Mr. Dursley tried to act normally. 
 When Dudley had been put to bed, he went into the 
living room in time to catch the last report on the 
evening news: 

 “And finally, bird-watchers everywhere have reported 
that the nation’s owls have been behaving very 
unusually today.","['Dudley', 'the']"
97,"When Dudley had been put to bed, he went into the 
living room in time to catch the last report on the 
evening news: 

 “And finally, bird-watchers everywhere have reported 
that the nation’s owls have been behaving very 
unusually today. Although owls normally hunt at 
night and are hardly ever seen in daylight, there have 
been hundreds of sightings of these birds flying in 
every direction since sunrise.","['Dudley', 'the']"
98,"“And finally, bird-watchers everywhere have reported 
that the nation’s owls have been behaving very 
unusually today. Although owls normally hunt at 
night and are hardly ever seen in daylight, there have 
been hundreds of sightings of these birds flying in 
every direction since sunrise. Experts are unable to 
explain why the owls have suddenly changed their 
sleeping pattern.”",['the']
99,"Although owls normally hunt at 
night and are hardly ever seen in daylight, there have 
been hundreds of sightings of these birds flying in 
every direction since sunrise. Experts are unable to 
explain why the owls have suddenly changed their 
sleeping pattern.” The newscaster allowed himself a 
grin.","['The', 'the']"
100,"Experts are unable to 
explain why the owls have suddenly changed their 
sleeping pattern.” The newscaster allowed himself a 
grin. “Most mysterious.","['The', 'the']"
101,"The newscaster allowed himself a 
grin. “Most mysterious. And now, over to Jim 
McGuffin with the weather.","['The', 'Jim', 'the']"
102,"“Most mysterious. And now, over to Jim 
McGuffin with the weather. Going to be any more 
showers of owls tonight, Jim?” 

","['Jim', 'the']"
103,"And now, over to Jim 
McGuffin with the weather. Going to be any more 
showers of owls tonight, Jim?” 

 “Well, Ted,” said the weatherman, “I don’t know about 
that, but it’s not only the owls that have been acting 
oddly today.","['Ted', 'Jim', 'the']"
104,"Going to be any more 
showers of owls tonight, Jim?” 

 “Well, Ted,” said the weatherman, “I don’t know about 
that, but it’s not only the owls that have been acting 
oddly today. Viewers as far apart as Kent, Yorkshire, 
and Dundee have been phoning in to tell me that 
instead of the rain I promised yesterday, they’ve had a 
downpour of shooting stars!","['Ted', 'Jim', 'the']"
105,"“Well, Ted,” said the weatherman, “I don’t know about 
that, but it’s not only the owls that have been acting 
oddly today. Viewers as far apart as Kent, Yorkshire, 
and Dundee have been phoning in to tell me that 
instead of the rain I promised yesterday, they’ve had a 
downpour of shooting stars! Perhaps people have 
been celebrating Bonfire Night early — it’s not until 
next week, folks!","['Ted', 'the']"
106,"Viewers as far apart as Kent, Yorkshire, 
and Dundee have been phoning in to tell me that 
instead of the rain I promised yesterday, they’ve had a 
downpour of shooting stars! Perhaps people have 
been celebrating Bonfire Night early — it’s not until 
next week, folks! But I can promise a wet night 
tonight.” 

",['the']
110,"Shooting stars 
all over Britain? Owls flying by daylight? Mysterious 
people in cloaks all over the place?",['the']
111,"Owls flying by daylight? Mysterious 
people in cloaks all over the place? And a whisper, a 
whisper about the Potters . . . 



",['the']
112,"Mysterious 
people in cloaks all over the place? And a whisper, a 
whisper about the Potters . . . 



 Page | 7 Harry Potter and the Philosophers Stone - J.K. Rowling 




Mrs. Dursley came into the living room carrying two 
cups of tea.","['Harry Potter', 'the']"
113,"And a whisper, a 
whisper about the Potters . . . 



 Page | 7 Harry Potter and the Philosophers Stone - J.K. Rowling 




Mrs. Dursley came into the living room carrying two 
cups of tea. It was no good.","['Harry Potter', 'the']"
114,"Page | 7 Harry Potter and the Philosophers Stone - J.K. Rowling 




Mrs. Dursley came into the living room carrying two 
cups of tea. It was no good. He’d have to say 
something to her.","['Harry Potter', 'the']"
116,"He’d have to say 
something to her. He cleared his throat nervously. “Er 
— Petunia, dear — you haven’t heard from your sister 
lately, have you?” 

",['Petunia']
117,"He cleared his throat nervously. “Er 
— Petunia, dear — you haven’t heard from your sister 
lately, have you?” 

 As he had expected, Mrs. Dursley looked shocked and 
angry.","['angry', 'Petunia']"
118,"“Er 
— Petunia, dear — you haven’t heard from your sister 
lately, have you?” 

 As he had expected, Mrs. Dursley looked shocked and 
angry. After all, they normally pretended she didn’t 
have a sister. 

","['angry', 'Petunia']"
119,"As he had expected, Mrs. Dursley looked shocked and 
angry. After all, they normally pretended she didn’t 
have a sister. 

 “No,” she said sharply.",['angry']
120,"After all, they normally pretended she didn’t 
have a sister. 

 “No,” she said sharply. “Why?” 

“Funny stuff on the news,” Mr. Dursley mumbled. 
",['the']
121,"“No,” she said sharply. “Why?” 

“Funny stuff on the news,” Mr. Dursley mumbled. 
 “Owls . . .",['the']
122,"“Why?” 

“Funny stuff on the news,” Mr. Dursley mumbled. 
 “Owls . . . shooting stars . . .",['the']
129,"you know ... her crowd.” 

 Mrs. Dursley sipped her tea through pursed lips. Mr. 
Dursley wondered whether he dared tell her he’d 
heard the name “Potter.”",['the']
130,"Mrs. Dursley sipped her tea through pursed lips. Mr. 
Dursley wondered whether he dared tell her he’d 
heard the name “Potter.” He decided he didn’t dare. 
",['the']
131,"Mr. 
Dursley wondered whether he dared tell her he’d 
heard the name “Potter.” He decided he didn’t dare. 
 Instead he said, as casually as he could, “Their son — 
he’d be about Dudley’s age now, wouldn’t he?” 

“I suppose so,” said Mrs. Dursley stiffly. 

","['Dudley', 'the']"
132,"He decided he didn’t dare. 
 Instead he said, as casually as he could, “Their son — 
he’d be about Dudley’s age now, wouldn’t he?” 

“I suppose so,” said Mrs. Dursley stiffly. 

 “What’s his name again?",['Dudley']
133,"Instead he said, as casually as he could, “Their son — 
he’d be about Dudley’s age now, wouldn’t he?” 

“I suppose so,” said Mrs. Dursley stiffly. 

 “What’s his name again? Howard, isn’t it?” 

","['Howard', 'Dudley']"
134,"“What’s his name again? Howard, isn’t it?” 

 “Harry.","['Harry', 'Howard']"
135,"Howard, isn’t it?” 

 “Harry. Nasty, common name, if you ask me.” 

","['Harry', 'Howard']"
136,"“Harry. Nasty, common name, if you ask me.” 

 “Oh, yes,” said Mr. Dursley, his heart sinking 
horribly.",['Harry']
138,"“Oh, yes,” said Mr. Dursley, his heart sinking 
horribly. “Yes, I quite agree.” 

 He didn’t say another word on the subject as they 
went upstairs to bed.",['the']
139,"“Yes, I quite agree.” 

 He didn’t say another word on the subject as they 
went upstairs to bed. While Mrs. Dursley was in the 
bathroom, Mr. Dursley crept to the bedroom window 

Page | 8 Harry Potter and the Philosophers Stone - J.K. Rowling 




and peered down into the front garden.","['Harry Potter', 'the']"
140,"He didn’t say another word on the subject as they 
went upstairs to bed. While Mrs. Dursley was in the 
bathroom, Mr. Dursley crept to the bedroom window 

Page | 8 Harry Potter and the Philosophers Stone - J.K. Rowling 




and peered down into the front garden. The cat was 
still there.","['The', 'Harry Potter', 'the']"
141,"While Mrs. Dursley was in the 
bathroom, Mr. Dursley crept to the bedroom window 

Page | 8 Harry Potter and the Philosophers Stone - J.K. Rowling 




and peered down into the front garden. The cat was 
still there. It was staring down Privet Drive as though 
it were waiting for something. 

","['The', 'Harry Potter', 'the']"
142,"The cat was 
still there. It was staring down Privet Drive as though 
it were waiting for something. 

 Was he imagining things?",['The']
143,"It was staring down Privet Drive as though 
it were waiting for something. 

 Was he imagining things? Could all this have 
anything to do with the Potters?",['the']
